OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,LIAISON,PHB_AREA,NEIGHBORHOOD,DEMO_CHANGE,MARKET_HOUSEVAL,MARKET_RENT,TYPOLOGY_COMBO,TYPOLOGY_2010,CHANGE_DESCRIPTION,Shape_Length,Shape_Area
25,41,051,002902,29.02,41051002902,NORTHEAST,Roseway-Cully,Madison South,Yes,Adjacent,Accelerating,NA,NA,NA,11429.4189058866,5140476.72863508
26,41,051,003000,30,41051003000,NORTHEAST,MLK-Alberta,Beaumont-Wilshire,Yes,Appreciated,,NA,NA,NA,8098.54722513,3328883.55285889
27,41,051,003100,31,41051003100,NORTHEAST,MLK-Alberta,Concordia,Yes,,Appreciated,NA,NA,NA,7390.13364844132,2620563.23024084
28,41,051,003200,32,41051003200,NORTHEAST,MLK-Alberta,Sabin,Yes,,,NA,Continued Loss,Method change,7138.28169683691,2336005.93079131
29,41,051,003301,33.01,41051003301,NORTHEAST,MLK-Alberta,King,Yes,Appreciated,Appreciated,Continued Loss,Dynamic,Worsening,4912.59246207465,1512030.92638127
30,41,051,003302,33.02,41051003302,NORTHEAST,MLK-Alberta,King,Yes,Appreciated,Appreciated,Continued Loss,NA,Method change,4853.42211454115,1432606.55251888
31,41,051,003401,34.01,41051003401,NORTHEAST,Interstate Corridor,Humboldt,Yes,Appreciated,Accelerating,Late: Type 1,Dynamic,Worsening,5668.87941216049,1946437.75759299
32,41,051,003402,34.02,41051003402,NORTHEAST,Interstate Corridor,Boise,Yes,Appreciated,Appreciated,Late: Type 1,Dynamic,Worsening,5210.19488339585,1576734.40900979
33,41,051,003501,35.01,41051003501,NORTH,Interstate Corridor,Overlook,Yes,Adjacent,Accelerating,Early: Type 1,Dynamic,Stabilizing,7285.03916067373,2622084.01435846
34,41,051,003502,35.02,41051003502,NORTH,Interstate Corridor,Overlook,Yes,Appreciated,Appreciated,NA,NA,NA,7752.17645092854,2471590.63767827
35,41,051,003601,36.01,41051003601,NORTHEAST,MLK-Alberta,Woodlawn,Yes,Accelerating,Accelerating,Late: Type 2,Dynamic,Worsening,8020.16881478934,3333329.12875118
36,41,051,003602,36.02,41051003602,NORTHEAST,MLK-Alberta,Concordia,Yes,Accelerating,,NA,NA,NA,9133.48864206586,4520920.29927966
37,41,051,003603,36.03,41051003603,NORTHEAST,MLK-Alberta,Concordia,Yes,Appreciated,,NA,NA,NA,6528.18701140775,1879643.69462742
38,41,051,003701,37.01,41051003701,NORTH,Interstate Corridor,Piedmont,Yes,Accelerating,Accelerating,Dynamic,Dynamic,No change,7032.20136878861,3012582.38118237
39,41,051,005100,51,41051005100,CENTRAL CITY,Central City,Old Town-Chinatown,Yes,,Adjacent,NA,NA,NA,7610.71796279681,2888220.96257041
40,41,051,005200,52,41051005200,CENTRAL CITY,Central City,Goose Hollow,Yes,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,4787.89598031218,1276959.06735873
41,41,051,005500,55,41051005500,CENTRAL CITY,Central City,Goose Hollow,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,4444.15615759429,761651.85624875
42,41,051,005600,56,41051005600,CENTRAL CITY,Central City,Downtown,Yes,Adjacent,Adjacent,Susceptible,NA,New in 2017,4228.59689012173,1002025.78771573
43,41,051,005700,57,41051005700,CENTRAL CITY,Central City,Downtown,No,Adjacent,Adjacent,NA,NA,NA,7203.51528015142,3146530.56651845
44,41,051,005800,58,41051005800,WEST,South Portland-Marquam Hill,Southwest Hills,No,,Appreciated,NA,NA,NA,19856.7560766195,7735723.47986862
45,41,051,005900,59,41051005900,WEST,South Portland-Marquam Hill,Corbett-Terwilliger-Lair Hill,No,Adjacent,Adjacent,NA,NA,NA,15884.9997024974,6739967.56782148
46,41,051,007300,73,41051007300,NORTHEAST,Hayden Island-Bridgeton,PDX - Marine Drive,No,Adjacent,Adjacent,Susceptible,NA,New in 2017,42713.9647144591,63736863.7043249
47,41,051,003702,37.02,41051003702,NORTHEAST,Interstate Corridor,Humboldt,Yes,Appreciated,Accelerating,Continued Loss,NA,Method change,5312.03084256032,1732312.726236
48,41,051,003801,38.01,41051003801,NORTH,Interstate Corridor,Kenton,Yes,Accelerating,Adjacent,NA,NA,NA,6747.96514788128,2525771.38829839
49,41,051,003802,38.02,41051003802,NORTH,Interstate Corridor,Arbor Lodge,Yes,Accelerating,Adjacent,Late: Type 2,NA,Method change,6231.06993729259,2262957.12360487
50,41,051,003803,38.03,41051003803,NORTH,Interstate Corridor,Overlook,Yes,Adjacent,Adjacent,Susceptible,NA,New in 2017,6670.8249141286,2511870.15856503
51,41,051,003901,39.01,41051003901,NORTH,Interstate Corridor,Kenton,Yes,Accelerating,Adjacent,Late: Type 2,NA,Method change,9838.42005628902,5149109.68178728
52,41,051,003902,39.02,41051003902,NORTH,Interstate Corridor,Arbor Lodge,Yes,Adjacent,,NA,NA,NA,9456.13648919572,2308865.92480124
53,41,051,004001,40.01,41051004001,NORTH,St. Johns,Portsmouth,No,Accelerating,Adjacent,Dynamic,Susceptible,Worsening,9369.53206021874,3752713.65018841
54,41,051,004002,40.02,41051004002,NORTH,St. Johns,University Park,No,Appreciated,Adjacent,NA,NA,NA,10804.945053793,6428072.52793734
55,41,051,004101,41.01,41051004101,NORTH,St. Johns,St.Johns,Yes,Accelerating,Adjacent,Dynamic,Dynamic,No change,21295.5598610701,16011537.0152348
56,41,051,004102,41.02,41051004102,NORTH,St. Johns,St.Johns,Yes,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,9021.65306426415,4421612.80437982
57,41,051,004200,42,41051004200,NORTH,St. Johns,Cathedral Park,Yes,Accelerating,Adjacent,Dynamic,Early: Type 2,Worsening,11008.8169460872,4727059.23462841
58,41,051,004500,45,41051004500,WEST,Northwest,Northwest,No,,Adjacent,NA,NA,NA,13323.5889626418,3470464.52830511
59,41,051,004601,46.01,41051004601,WEST,Northwest,Sylvan Highlands,No,,,NA,NA,NA,12292.5464077277,7259422.45459555
60,41,051,004602,46.02,41051004602,WEST,Northwest,Southwest Hills,No,,,NA,NA,NA,10472.4130982347,2884704.92620746
61,41,051,004700,47,41051004700,WEST,Northwest,Northwest,Yes,,Adjacent,NA,NA,NA,7249.55634439532,1436269.29028581
62,41,051,004800,48,41051004800,WEST,Northwest,Northwest,Yes,Adjacent,,NA,NA,NA,3695.65008294935,605268.142390183
63,41,051,004900,49,41051004900,WEST,Northwest,Northwest,No,Adjacent,,Susceptible,NA,New in 2017,6725.64267814116,1111706.36232664
64,41,051,005000,50,41051005000,WEST,Northwest,Northwest,Yes,Adjacent,,NA,NA,NA,6840.03032737219,1511515.52850356
65,41,051,006300,63,41051006300,WEST,Tryon Creek-Riverdale,Collins View,No,,,NA,NA,NA,19376.3733603185,17659935.6646885
66,41,051,006402,64.02,41051006402,WEST,Tryon Creek-Riverdale,Arnold Creek,Yes,,,NA,NA,NA,17004.4841838152,11782533.8853311
67,41,051,006801,68.01,41051006801,WEST,Raleigh Hills,Bridlemile,No,,Appreciated,NA,NA,NA,6661.52407031007,2892538.80657517
68,41,051,007400,74,41051007400,NORTHEAST,Roseway-Cully,Cully,No,Adjacent,Accelerating,Early: Type 1,Dynamic,Stabilizing,8127.85352442179,2964791.80077485
69,41,051,007500,75,41051007500,NORTHEAST,Roseway-Cully,Cully,Yes,Accelerating,Accelerating,Early: Type 1,Early: Type 2,Stabilizing,9640.92329245737,4403764.96350924
70,41,051,007600,76,41051007600,NORTHEAST,Roseway-Cully,Cully,No,Accelerating,Accelerating,Early: Type 1,Dynamic,Stabilizing,7527.49080319765,3260489.23535426
71,41,051,007700,77,41051007700,NORTHEAST,Roseway-Cully,Sumner,Yes,Accelerating,Accelerating,Dynamic,Susceptible,Worsening,7824.13290805963,2242903.32094359
72,41,051,007900,79,41051007900,EAST,Parkrose-Argay,Parkrose,No,Accelerating,Accelerating,Dynamic,NA,New in 2017,8814.97296963193,4112742.31148338
73,41,051,008001,80.01,41051008001,EAST,Gateway,Parkrose Heights,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,7272.1901801959,2928612.18587388
74,41,051,008002,80.02,41051008002,EAST,Gateway,Parkrose Heights,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,6856.63073774683,2709048.80474705
75,41,051,008100,81,41051008100,EAST,Gateway,Hazelwood,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,10676.7814431877,5720562.82938453
76,41,051,008201,82.01,41051008201,EAST,Gateway,Hazelwood,No,Adjacent,Adjacent,Susceptible,NA,New in 2017,9559.02462748965,4293036.60437962
77,41,051,008202,82.02,41051008202,EAST,Gateway,Mill Park,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,9878.73506594173,4832253.40356588
78,41,051,006802,68.02,41051006802,WEST,Raleigh Hills,Bridlemile,No,,Appreciated,NA,NA,NA,10268.4850085275,4530216.91602013
79,41,051,006900,69,41051006900,WEST,Raleigh Hills,Southwest Hills,No,,,NA,NA,NA,14746.4929236956,9639920.25926049
80,41,051,007000,70,41051007000,WEST,Forest Park-Northwest Hills,Forest Park - Linnton,No,,,NA,NA,NA,66086.8694215127,73472320.2609419
81,41,051,007201,72.01,41051007201,NORTH,Hayden Island-Bridgeton,Hayden Island,No,Adjacent,,NA,NA,NA,33247.5216348307,25090832.0867518
82,41,051,008600,86,41051008600,SOUTHEAST,Lents-Foster,Brentwood-Darlington,No,Accelerating,Accelerating,Early: Type 1,NA,New in 2017,6853.00000878038,2613285.42257471
83,41,051,008902,89.02,41051008902,EAST,Lents-Foster,Lents,No,Accelerating,Accelerating,Early: Type 1,NA,New in 2017,10334.1497960737,6140019.38865199
84,41,051,008901,89.01,41051008901,EAST,Pleasant Valley,Pleasant Valley,No,Adjacent,Accelerating,NA,NA,NA,23103.9799651447,19794948.5095148
85,41,051,009201,92.01,41051009201,EAST,Gateway,Hazelwood,No,Accelerating,,Early: Type 1,NA,New in 2017,9562.50354077018,5433338.84192899
86,41,051,008301,83.01,41051008301,EAST,Lents-Foster,Lents,No,Accelerating,Accelerating,Early: Type 1,Susceptible,Worsening,7717.86559891178,3300542.37539719
87,41,051,008302,83.02,41051008302,EAST,122nd-Division,Powellhurst Gilbert,No,Accelerating,Accelerating,Early: Type 1,NA,New in 2017,8880.44335032809,4556479.82942863
88,41,051,008400,84,41051008400,EAST,122nd-Division,Powellhurst Gilbert,No,Accelerating,Adjacent,Dynamic,NA,New in 2017,6885.09473129385,2639864.24555851
89,41,051,008500,85,41051008500,EAST,122nd-Division,Powellhurst Gilbert,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,8710.30378070496,4469336.23873163
90,41,051,008700,87,41051008700,SOUTHEAST,Lents-Foster,Brentwood-Darlington,Yes,Accelerating,Accelerating,NA,NA,NA,8469.05095084649,3415617.22672741
91,41,051,009000,90,41051009000,EAST,122nd-Division,Powellhurst Gilbert,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,10626.9116431492,5691225.2809063
92,41,051,009102,91.02,41051009102,EAST,Pleasant Valley,Pleasant Valley,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,12954.7644030036,10680403.3598143
93,41,051,009202,92.02,41051009202,EAST,Gateway,Centennial,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,8078.68838401218,3310783.40352416
94,41,051,009302,93.02,41051009302,EAST,Gateway,Hazelwood,No,Adjacent,Adjacent,Susceptible,NA,New in 2017,9857.64125512108,5554678.93479619
95,41,051,009400,94,41051009400,EAST,Gateway,Russell,No,Adjacent,Adjacent,Susceptible,NA,New in 2017,12837.1333103235,7691452.19698407
96,41,051,009501,95.01,41051009501,EAST,Parkrose-Argay,Wilkes,No,Adjacent,Adjacent,Susceptible,NA,New in 2017,13507.3207275461,3817173.50730624
97,41,051,009701,97.01,41051009701,EAST,Centennial-Glenfair-Wilkes,Centennial,No,Accelerating,Adjacent,Dynamic,NA,New in 2017,7834.87189705006,3709945.14043177
98,41,051,009301,93.01,41051009301,EAST,Centennial-Glenfair-Wilkes,Glenfair,No,Accelerating,Accelerating,Dynamic,NA,New in 2017,7864.83268565148,3495906.19329895
99,41,051,006001,60.01,41051006001,WEST,South Portland-Marquam Hill,Homestead,No,,,NA,NA,NA,16372.3332104441,3698268.29360023
100,41,051,006601,66.01,41051006601,WEST,Raleigh Hills,Maplewood,No,,,NA,NA,NA,7370.55456245809,3202928.09559554
101,41,051,006002,60.02,41051006002,WEST,Hillsdale-Multnomah-Barbur,Hillsdale,No,,,NA,NA,NA,7083.53463081182,2702740.27211358
102,41,051,006100,61,41051006100,WEST,Hillsdale-Multnomah-Barbur,Hillsdale,No,,,NA,NA,NA,10625.992766586,3316543.30974682
103,41,051,006200,62,41051006200,WEST,Hillsdale-Multnomah-Barbur,South Burlingame,No,,,NA,NA,NA,11725.1137617,3601886.56061072
104,41,051,006501,65.01,41051006501,WEST,West Portland,Ashcreek,No,Adjacent,,NA,NA,NA,12435.5854995547,7383882.43218006
105,41,051,006502,65.02,41051006502,WEST,Hillsdale-Multnomah-Barbur,Multnomah,No,Adjacent,Adjacent,NA,NA,NA,10291.6907987402,3875514.69017959
106,41,051,006602,66.02,41051006602,WEST,Hillsdale-Multnomah-Barbur,Multnomah,Yes,Adjacent,Appreciated,NA,NA,NA,10800.9042835238,5155383.3959921
107,41,051,006701,67.01,41051006701,WEST,Raleigh Hills,Hayhurst,No,,,NA,NA,NA,8723.67018655324,3770128.6340961
108,41,051,006702,67.02,41051006702,WEST,Hillsdale-Multnomah-Barbur,Hayhurst,No,,,NA,NA,NA,8839.75606339304,2820190.47424212
109,41,051,007202,72.02,41051007202,NORTH,Hayden Island-Bridgeton,St.Johns,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,52054.8662824576,69789561.6252377
110,41,051,002903,29.03,41051002903,NORTHEAST,Roseway-Cully,Madison South,No,Accelerating,Accelerating,Dynamic,NA,New in 2017,9622.1737031641,5940548.99443792
111,41,051,007800,78,41051007800,EAST,,Madison South,No,Adjacent,Adjacent,Early: Type 2,NA,New in 2017,11133.1468688122,2283336.93834535
112,41,051,008800,88,41051008800,SOUTHEAST,Lents-Foster,Brentwood-Darlington,Yes,Accelerating,Accelerating,Late: Type 2,NA,Method change,8595.18634463266,3351706.98106525
113,41,051,009502,95.02,41051009502,EAST,Parkrose-Argay,Argay,No,Adjacent,Adjacent,Susceptible,NA,New in 2017,7729.35691948122,3343866.94545738
114,41,051,004300,43,41051004300,WEST,Forest Park-Northwest Hills,Forest Park - Linnton,No,Adjacent,,NA,NA,NA,52482.7890864126,57655003.1454367
115,41,051,000200,2,41051000200,SOUTHEAST,Sellwood-Moreland-Brooklyn,Sellwood-Moreland,No,Appreciated,Appreciated,NA,NA,NA,12196.5027092063,4844308.82145659
116,41,051,000301,3.01,41051000301,SOUTHEAST,Woodstock,Eastmoreland,No,,Appreciated,NA,NA,NA,9908.24170969467,4736461.34072365
117,41,051,010600,106,41051010600,CENTRAL CITY,Central City,Downtown,Yes,Adjacent,Adjacent,Susceptible,NA,New in 2017,6407.23313900918,2487763.03794922
118,41,051,002303,23.03,41051002303,CENTRAL CITY,Central City,Sullivan's Gulch,No,Adjacent,Accelerating,Early: Type 1,NA,New in 2017,10128.0046971026,4464931.19735363
119,41,051,002203,22.03,41051002203,NORTHEAST,Interstate Corridor,Eliot,Yes,Appreciated,Appreciated,Late: Type 1,Late,No change,7985.08103591282,2876112.52780652
120,41,051,000302,3.02,41051000302,SOUTHEAST,Woodstock,Eastmoreland,Yes,,,NA,NA,NA,10809.0932539616,6536906.25929489
121,41,051,000401,4.01,41051000401,SOUTHEAST,Woodstock,Woodstock,Yes,Adjacent,Accelerating,NA,NA,NA,7100.65283792427,2759610.78244494
122,41,051,000402,4.02,41051000402,SOUTHEAST,Lents-Foster,Woodstock,Yes,Adjacent,Accelerating,NA,NA,NA,6771.53763268248,2381315.83674395
123,41,051,000501,5.01,41051000501,SOUTHEAST,Lents-Foster,Mount Scott,Yes,Adjacent,Accelerating,NA,NA,NA,6438.56916219712,2294907.87104247
124,41,051,000502,5.02,41051000502,SOUTHEAST,Lents-Foster,Mount Scott,No,Accelerating,Accelerating,Early: Type 1,NA,New in 2017,8488.1398606107,2922876.09990983
125,41,051,000601,6.01,41051000601,EAST,Lents-Foster,Lents,No,Accelerating,Accelerating,Early: Type 1,Susceptible,Worsening,8551.39924829459,4136219.91658737
126,41,051,000602,6.02,41051000602,EAST,Lents-Foster,Lents,No,Accelerating,Accelerating,Early: Type 1,NA,New in 2017,8973.6698518907,3373044.48906951
127,41,051,000701,7.01,41051000701,SOUTHEAST,Montavilla,South Tabor,Yes,Adjacent,Accelerating,Late: Type 2,NA,Method change,7062.83898542306,2899172.60834665
128,41,051,000702,7.02,41051000702,SOUTHEAST,Lents-Foster,Foster-Powell,Yes,Accelerating,Accelerating,Dynamic,Early Type 1,Worsening,7234.38164615719,2865831.80593139
129,41,051,000801,8.01,41051000801,SOUTHEAST,Belmont-Hawthorne-Division,Richmond,Yes,Appreciated,Appreciated,NA,NA,NA,7640.35964207953,3173307.46913261
130,41,051,000802,8.02,41051000802,SOUTHEAST,Woodstock,Creston-Kenilworth,Yes,Accelerating,Accelerating,Late: Type 2,Early: Type 2,Worsening,7489.53003261973,2709191.73854247
131,41,051,000901,9.01,41051000901,SOUTHEAST,Belmont-Hawthorne-Division,Richmond,Yes,,Appreciated,NA,Continued Loss,Method change,6086.73489304064,2294334.21362407
132,41,051,000902,9.02,41051000902,SOUTHEAST,Woodstock,Creston-Kenilworth,Yes,Appreciated,Accelerating,Late: Type 1,Early Type 1,Worsening,6147.53585669372,2038276.32752959
133,41,051,001000,10,41051001000,SOUTHEAST,Sellwood-Moreland-Brooklyn,Brooklyn,Yes,Appreciated,Appreciated,NA,NA,NA,9011.82914475471,5138078.0306063
134,41,051,001101,11.01,41051001101,CENTRAL CITY,Central City,Buckman,Yes,Adjacent,Adjacent,Susceptible,NA,New in 2017,10042.1466323147,3405089.35096372
135,41,051,001102,11.02,41051001102,CENTRAL CITY,Central City,Hosford-Abernethy,No,,Appreciated,NA,NA,NA,5371.21152612677,1689278.5981055
136,41,051,001201,12.01,41051001201,SOUTHEAST,Belmont-Hawthorne-Division,Buckman,No,Adjacent,Appreciated,Continued Loss,Continued Loss,No change,5578.63701575393,1889009.24503646
137,41,051,009101,91.01,41051009101,EAST,Centennial-Glenfair-Wilkes,Centennial,No,Accelerating,,Early: Type 1,NA,New in 2017,8705.11188971462,3238669.27873718
138,41,051,009804,98.04,41051009804,EAST,Centennial-Glenfair-Wilkes,Centennial,No,Accelerating,,Early: Type 1,NA,New in 2017,6229.34831487284,2364595.98232238
139,41,051,009702,97.02,41051009702,EAST,Centennial-Glenfair-Wilkes,Centennial,No,Accelerating,Adjacent,Early: Type 1,NA,New in 2017,9289.06833595432,5370763.57228725
140,41,051,006404,64.04,41051006404,WEST,West Portland,Far Southwest,No,Adjacent,,NA,NA,NA,12085.2426314385,5650689.53929115
141,41,051,006403,64.03,41051006403,WEST,West Portland,West Portland Park,No,Adjacent,Adjacent,NA,NA,NA,8817.85724078865,3852695.54585548
142,41,051,000100,1,41051000100,SOUTHEAST,Sellwood-Moreland-Brooklyn,Sellwood-Moreland,Yes,,,NA,NA,NA,16596.0341488088,11936377.8423125
143,41,051,980000,9800,41051980000,NORTH,Overlook,Overlook,No,,,NA,NA,NA,18415.5635691533,11575833.4322611
